resource_id,primary_secondary,author,year,title,resource_type,doi_ISBN,resource_journal,resource_volume_pages
r5,primary,"Anderson, E., Castanaro, J., Lasker, H.R. ",2022,"Corrigendum: Colony growth responses of the Caribbean octocoral, Pseudopterogorgia elisabethae, to harvesting. 122, 299–307",article,10.1111/ivb.12359,Invertebrate Biology,"141, 1, e12359"
r6,primary,"Grigg, R.W. ",1974,Growth rings: Annual periodicity in two gorgonian corals,article,10.2307/1934424,,
r7,primary,"Cadena, N. J., & Sánchez, J. A.",2010,Colony growth in the harvested octocoral Pseudopterogorgia acerosa in a Caribbean coral reef,article,10.1111/j.1439-0485.2010.00397.x,,
r8,primary,"Yoshioka, P. M., & Yoshioka, B. B.",1991,A comparison of the survivorship and growth of shallow-water gorgonian species of Puerto Rico,article,10.3354/meps069253,,
r10,primary,"Rey-Villiers, N., & Sánchez, A.",2018,Can organic pollution affect the growth rate of octocorals in the Caribbean?,article,10.4067/S0717-65382018000200166,Gayana,"82(2): 166-170, 2018"
r11,primary,"Manrique-Rodríguez, N., Bejarano-Chavarro, S., & Garzón-Ferreira, J. ",2006," Crecimiento del abanico de mar Gorgonia ventalina  (Linnaeus,  1758)  (Cnidaria:  Gorgoniidae)  en  el  área  de  Santa  Marta,  Caribe  Colombiano.  Boletín  de  Investigaciones Marinas y Costeras 35: 77-90.",article,10.25268/bimc.invemar.2006.35.0.217,Bol. Invest. Mar. Cost. ,"35, 77-90"
r12,primary,"Birkeland, C.",1974, The effect of wave action on the population dynamics of Gorgonia ventalina Linnaeus,article,,Stud. Trop. Oceanogr.,"12, 115-126"
r13,primary,"Kinzie III, R.A. ",1974,Plexaura homomalla: The biology and ecology of a harvestable marine resource,article,,Stud. Trop. Oceanogr.,"12, 22-23"
r14,primary,"Peck, L. S., & Brockington, S.",2013,Growth of the Antarctic octocoral Primnoella scotiae and predation by the anemone Dactylanthus antarcticus,article,10.1016/j.dsr2.2013.01.024,,
r15,primary,"Matsumoto, A.K. ",2007,Effects of low water temperature on growth and magnesium carbonate concentrations in the cold-water gorgonian Primnoa pacifica,article,https://www.ingentaconnect.com/contentone/umrsmas/bullmar/2007/00000081/00000003/art00010,Bulletin of Marine Science -Miami,81(3):423-435
r16,primary,"Andrews, A. H., Cordes, E. E., Mahoney, M. M., Munk, K., Coale, K. H., Cailliet, G. M., & Heifetz, J.",2002,"Age, growth and radiometric age validation of a deep-sea, habitat-forming gorgonian (Primnoa resedaeformis) from the Gulf of Alaska",article,10.1023/A:1016501320206,,
r17,primary,"Risk, M. J., Heikoop, J. M., Snow, M. G., & Beukens, R. ",2002,Lifespans and growth patterns of two deep-sea corals: Primnoa resedaeformis and Desmophyllum cristagalli ,article,10.1023/A:1016557405185,,
r18,primary,"Druffel, E. R., King, L. L., Belastock, R. A., & Buesseler, K. O. ",1990,Growth rate of a deep-sea coral using 210Pb and other isotopes,article,10.1016/0016-7037(90)90174-J,,
r19,secondary,"Andrews, A. H., Cailliet, G. M., Kerr, L. A., Coale, K. H., Lundstrom, C., & DeVogelaere, A. P.",2005,Investigations of age and growth for three deep- sea corals from the Davidson Seamount off central California ,book chapter,10.1007/3-540-27673-4_51,"A. Freiwald and J. M. Roberts, eds. Cold-water corals and ecosystems. Springer-Verlag, Berlin Heidelberg.",1021–1038 
r20,primary,"Roark, E. B., Guilderson, T. P., Dunbar, R. B., & Ingram, B. L. ",2006,Radiocarbon Based Ages and Growth Rates: Hawaiian Deep Sea Corals,article,10.3354/meps327001,,
r21,primary,"Mortensen, P. B., & Buhl-Mortensen, L.",2005,Morphology and growth of the deep-water gorgonians Primnoa resedaeformis and Paragorgia arborea,article,10.1007/s00227-005-1604-y,,
r22,primary,"Aranha, R., Edinger, E., Layne, G., & Piercey, G.",2014,Growth rate variation and potential paleoceanographic proxies in Primnoa pacifica:Insights from high-resolution trace element microanalysis,article,10.1016/j.dsr2.2013.07.001,,
r23,primary,"Sherwood, O. A., & Edinger, E. N.",2009,Ages and growth rates of some deep-sea gorgonian and antipatharian corals of Newfoundland and Labrador,article,10.1139/F08-195,,
r24,primary,"Weinberg, S. & Weinberg, F. ",1979,"The life cycle of a gorgonian: Eunicella singularis (Esper, 1794)",article,10.1163/26660644-04802003,Bijdragen tot de dierkunde,"48(2), 127–137."
r25,primary,"Gomez, C. G., Guzman, H. M., Gonzalez, A., & Breedy, O. ",2014,"Survival, growth, and recruitment of octocoral species (Coelenterata: Octocorallia) in Coiba National Park, Pacific Panama",article,10.5343/bms.2012.1092,,
r26,primary,"Munari, C., Serafin, G., & Mistri, M.",2013,"Structure, growth and secondary production of two Tyrrhenian populations of the white gorgonian Eunicella singularis (Esper 1791)",article,10.1016/j.ecss.2013.01.007,,
r27,primary,"Mistri, M., & Ceccherelli, V. U.",1994,Growth and secondary production of the Mediterranean gorgonian Paramuricea clavata,article,10.3354/meps103291,,
r28,primary,"Coma, R., Ribes, M., Zabala, M., & Gili, J. M.",1998,Growth in a Modular Colonial Marine Invertebrate,article,10.1006/ecss.1998.0375,,
r29,primary,"Mistri, M., & Ceccherelli, V. U.",1993,"Growth of the Mediterranean Gorgonian Lophogorgia ceratophyta (L., 1758)",article,10.1111/j.1439-0485.1993.tb00004.x,,
r30,primary,"Mistri, M.",1995,Population Structure and Secondary Production of the Mediterranean Octocoral Lophogorgia ceratophyta (L. 1758),article,10.1111/j.1439-0485.1995.tb00404.x,,
r31,primary,"Bramanti, L., Magagnini, G., De Maio, L., & Santangelo, G. ",2005,"Recruitment, early survival and growth of the Mediterranean red coral Corallium rubrum (L 1758), a 4-year study",article,10.1016/j.jembe.2004.08.029,,
r32,primary,"Garcia-Rodriguez, M. & Masso, C.",1986,Estudio biometrico de poblaciones de coral rojo del litoral de Gerona.,article,,Boletín del Instituto Español de Oceanografía,"3, 65-74"
r33,primary,"Abbiati, M., Buffoni, G., Caforio, G., Di Cola, G., & Santangelo, G.",1992,"Harvesting, predation and competition effects on a red coral population",article,10.1016/0077-7579(92)90060-R,,
r34,primary,"Cerrano, C., Bavestrello, G., Cicogna, F. & Cattaneo-Vietti, R.",1999,New experiences on transplantation and red coral harvesting effects in the Ligurian Sea.,book chapter,,"In: Cicogna, F., Cattaneo-Vietti, R. (Eds.), Red Coral and Other Mediterranean Octocorals, Biology and Protection. Min. Ris. Agr. Al For Roma",62-67
r35,primary,"Garrabou, J., & Harmelin, J. G.",2002,A 20-year study on life-history traits of a harvested long-lived temperate coral in the NW Mediterranean: insights into conservation and management needs,article,10.1046/j.1365-2656.2002.00661.x,,
r36,primary,"Weinbauer, M. G. & Velimirov, B. ",1995,"Morphological Variations in the Mediterranean Sea Fan Eunicella Cavolini(Coelenterata: Gorgonacea) in Relation to Exposure, Colony Size and Colony Region",article,,Bulletin of Marine Science,56(1):283-295
r37,primary,"Sartoretto, S., & Francour, P.",2012,Bathymetric distribution and growth rates of Eunicella verrucosa (Cnidaria: Gorgoniidae) populationsalong the Marseilles coast (France),article,10.3989/scimar.03262.16B,,
r38,primary,"Cary, L. R.",1914,Observations upon the growth-rate and ecology of gorgonians.,article,,Publications of the Carnegie Institution of Washington,"182, 79-90"
r39,primary,"Kinzie, R.A. ",1973,The zonation on West Indian gorgonians. ,article,,Bulletin of Marine Science,"23, 93-195"
r40,primary,"Brazeu, L. A. & Lasker, H. R.",1992,"Growth rates and growth strategy in a clonal marine invertebrate, the Caribbean octocoral Briareum asbestinum ",article,10.2307/1542214,,
r41,primary,"Kinzie III, R.A. ",1970,"The ecology of the gorgonians (Cnidaria, Octocorallia) of discovery bay, Jamaica",PhD thesis,,"PhD thesis, Yale University ProQuest Dissertations Publishing",
r42,primary,"Velimirov, B.",1975,Wachstum und altersbestimmung der Gorgonie Eunicella cavolinii,article,,Oecologia (Berlin),19:259-272
r43,primary,"Gili, J. M. & García, A. ",1985,"Biologia de Paramuricea clavata (Anthozoa, Octocorallia), a les costes Catalanes. Creixement i caracter ́ıstiques generals. ",article,,Butllet ́ı de l’Institucio ́ Catalana d’Historia Natural ,52: 23-36
r44,primary,"Velmirov, B.",1973,Orientation in the sea fan Eunicella cavolinii related to water movement,article,,Helgola nder wissenschaftitliche Meeresuntersuchungen ,24: 163-173
r45,primary,"Goffredo, S. & Lasker, H. R.",2006,Modular growth of a gorgonian coral can generate predictable patterns of colony growth,article,10.1016/j.jembe.2006.05.012,,
r46,primary,"Sini, M., Kipson, S., Linares, C., Koutsoubas, D., & Garrabou, J. ",2015,"The Yellow Gorgonian Eunicella cavolini: Demography and Disturbance
Levels across the Mediterranean Sea",article,10.1371/journal.pone.0126253,,
r47,primary,"Stone, R. P., Malecha, P. W., & Masuda, M. M.",2017,"A Five-Year, In Situ Growth Study on Shallow-Water Populations of the Gorgonian Octocoral Calcigorgia spiculifera in the Gulf of Alaska",article,10.1371/journal.pone.0169470,,
r48,primary,"Andrews, A. H., Stone, R. P., Lundstrom, C. C., & DeVogelaere, A. P.",2009,Growth rate and age determination of bamboo corals from the northeastern Pacific Ocean using refined 210Pb dating,article,10.3354/meps08193,,
r49,primary,"Viladrich, N., Gori, A., & Gili, J. M.",2018,"Fast growth rate in a young colony of the Mediterranean gorgonian
Eunicella singularis",article,10.1007/s12526-016-0554-6 ,,
r50,primary,"Martinez-Dios, A., Dominguez-Carrió, C., Zapata-Guardiola, R., & Gili, J. M.",2016,"New insights on Antarctic gorgonians' age, growth and their potential as paleorecords",article,10.1016/j.dsr.2016.03.007,,
r52,primary,"Sherwood, O. A., Scott, D. B., Risk, M. J., & Guilderson, T. P. ",2005,Radiocarbon evidence for annual growth rings in the deep-sea octocoral Primnoa resedaeformis ,article,10.3354/meps301129 ,,
r53,primary,"Roark, E. B., Guilderson, T. P., Dunbar, R. B., Fallon, S. J., & Mucciarone, D. A.",2009,Extreme longevity in proteinaceous deep-sea corals,article,10.1073/pnas.0810875106,,
r55,primary,"Lasker, H. R., Boller, M. L., Castanaro, J., & Sánchez, J. A. ",2003,Determinate growth and modularity in a gorgonian octocoral,article,10.2307/1543295,,
r60,primary,"Grigg, R.W. ",1976,Fishery management of precious and stony corals in Hawaii. ,report,,"UNIHI-SEAGRANT-TR-77- 03, University of Hawaii Sea Grant Program, Honolulu, HI ",
r63,primary,"Thresher, R. E., Fallon, S. J., & Townsend, A. T.",2016, A “core-top” screen for trace element proxies of environmental condition and growth rates in calcite skeletons of bamboo corals (Isididae),article,10.1016/j.gca.2016.07.033,,
r66,primary,"Benedetti, M. C., Priori, C., Erra, F., & Santangelo, G.",2016,Growth patterns in mesophotic octocorals: Timing the branching process in the highly-valuable Mediterranean Corallium rubrum,article,10.1016/j.ecss.2015.12.026,,
r67,primary,"Priori, C., Mastascusa, V., Erra, F., Angiolillo, M., Canese, S., & Santangelo, G.",2013,"Demography of deep-dwelling red coral populations: Age and reproductive
structure of a highly valued marine species",article,10.1016/j.ecss.2012.12.011,,
r68,primary,"Santangelo, G., Carletti, E., Maggi, E., & Bramanti, L.",2003,Reproduction and population sexual structure of the overexploited Mediterranean red coral Corallium rubrum ,article,10.3354/meps248099 ,,
r69,primary,"Marschal, C., Garrabou, J., Harmelin, J. G., & Pichon, M.",2004,A new method for measuring growth and age in the precious red coral Corallium rubrum (L.),article,10.1007/s00338-004-0398-6,,
r70,primary,"Gallmetzer, I., Haselmair, A., & Velimirov, B.",2010,Slow growth and early sexual maturity: Bane and boon for the red coral Corallium rubrum,article,10.1016/j.ecss.2010.04.018,,
r71,primary,"Santangelo, G., Bongiorni, L., Giannini, F., Abbiati, M. & Buffoni, G.",1997,Structure analysis of two Red Coral populations dwelling in different habitats. ,book chapter,,"In: Cicogna, F., Bavestrello, G., Cattaneo-Vietti, R. (Eds.), Red Coral and Other Mediterranean Octocorals: Biology and Protection. Ministero per le Politiche Agricole, Roma, ",pp. 23-43
r72,primary,"Cattaneo-Vietti, R., Bavestrello, G. & Senes, L.,",1993, Red coral from the Portofino promontory,book chapter,,"In: Cicogna, F., Cattaneo-Vietti, R. (Eds.), Red Coral in the Mediterranean Sea: Art, History and Science. Ministero delle Risorse Agricole, Alimentari e Forestali, Roma, pp.",pp. 109-130
r73,primary,"de Moura Neves, B., Edinger, E., Hayes, V. W., Devine, B., Wheeland, L., & Layne, G.",2018,"Size metrics, longevity, and growth rates in Umbellula encrinus
(Cnidaria: Pennatulacea) from the eastern Canadian Arctic",article,10.1139/as-2018-0009,,
r74,primary,"Fabricius, K. E., Genin, A., & Benayahu, Y.",1995,Flow-dependent herbivory and growth in zooxanthellae-free soft corals,article,10.4319/lo.1995.40.7.1290,,
r75,primary,"Boavida, J., Paulo, D., Aurelle, D., Arnaud-Haond, S., Marschal, C., Reed, J., ... & Serrao, E. A.",2016,A Well-Kept Treasure at Depth: Precious Red Coral Rediscovered in Atlantic Deep Coral Gardens (SW Portugal) after 300 Years,article,10.1371/journal.pone.0147228,,
r76,primary,"Zibrowius H., Montero M. & Grashoff M.",1984,La re ́partition du Corallium rubrum dans l’Atlantique,article,,Thetys,"11, 163-170"
r77,primary,"Teixidó, N., Garrabou, J., & Harmelin, J. G.",2011,"Low dynamics, high longevity and persistence of sessile structural species dwelling on Mediterranean coralligenous outcrops",article,10.1371/journal.pone.0023744,,
r78,primary,"Garrabou, J.",1999,"Life-history traits of Alcyonium acaule and Parazoanthus axinellae (Cnidaria, Anthozoa), with emphasis on growth",article,10.3354/meps178193,,
r79,primary,"Weinberg, S.",1977,Revision of common Octocorallia of the Mediterranpan circalittoral II,article,,Beaufortia,25(326):131-166
r80,primary,"Skoufas, G., Poulicek, M. & Chintiroglou, C.C.",2000,"Growth variation of Eunicella singularis (Esper, 1794) (Gorgonacea, anthozoa) ",article,,Belg. J. Zool ,130 (Supplement 1): 121-124 
r81,primary,"Chimienti, G., Di Nisio, A., & Lanzolla, A. M.",2020,Size/Age Models for Monitoring of the Pink Sea Fan Eunicella verrucosa(Cnidaria: Alcyonacea) and a Case Study Application,article,10.3390/jmse8110951,,
r82,primary,"Rossi, S., Gili, J. M., & Garrofé, X.",2011,Net negative growth detected in a population of Leptogorgia sarmentosa: quantifying the biomass loss in a benthic soft bottom-gravel gorgonian,article,10.1007/s00227-011-1675-x,,
r83,primary,"Pelosi, J., Eaton, K. M., Mychajliw, S., terHorst, C. P., & Coffroth, M. A.",2021,Thermally tolerant symbionts may explain Caribbean octocoral resilience to heat stress,article,10.1007/s00338-021-02116-8,,
r84,primary,"Coz, R., Ouisse, V., Artero, C., Carpentier, A., Crave, A., Feunteun, E., ... & Ysnel, F.",2012,Development of a new standardised method for sustainable monitoring of the vulnerable pink sea fan Eunicella verrucosa,article,10.1007/s00227-012-1908-7,,
r85,primary,"Chang, W. L., Chi, K. J., Fan, T. Y., & Dai, C. F.",2007,"Skeletal modification in response to flow during growth in colonies of the sea whip, Junceella fragilis",article,10.1016/j.jembe.2007.03.011,,
r86,primary,"Ghanem, R., Ben Souissi, J., Ledoux, J. B., Linares, C., & Garrabou, J.",2021,"Population structure and conservation status of the white gorgonian Eunicella singularis(Esper, 1791) in Tunisian waters (Central Mediterranean)",article,10.12681/mms.24984,,
r87,primary,"Bennecke, S., Kwasnitschka, T., Metaxas, A., & Dullo, W. C. ",2016,In situ growth rates of deep-water octocorals determined from 3D photogrammetric reconstructions,article,10.1007/s00338-016-1471-7,,
r88,primary,"Courtney, T. A., Guest, J. R., Edwards, A. J., & Dizon, R. M. ",2021,"Linear extension, skeletal density, and calcification rates of the blue coral Heliopora coerulea",article,10.1007/s00338-021-02137-3,,
r89,primary,"Guzman, C., Atrigenio, M., Shinzato, C., Aliño, P., & Conaco, C. ",2019,"Warm seawater temperature promotes substrate colonization by the blue coral, Heliopora coerulea",article,10.7717/peerj.7785,,
r90,primary,"Matsumoto, A.K. ",2004,Heterogeneous and compensatory growth in Melithaea flabellifera (Octocorallia: Melithaeidae) in Japan,article,10.1007/s10750-004-2673-5,,
r91,primary,"Murillo, F. J., MacDonald, B. W., Kenchington, E., Campana, S. E., Sainte-Marie, B., & Sacau, M.",2018,"Morphometry and growth of sea pen species from dense habitats in the Gulf of St. Lawrence, eastern Canada ",article,10.1080/17451000.2017.1417604 ,,
r93,primary,"Adams, R. 0.",1980,"Ivestigations of color, morphology and development of the sea whip Leptogorgia virgulata (Lamarck) (Cnidaria: Octocorallia: Gorgonacea).",PhD thesis,,"PhD thesis. Florida State University, Tallahassee, Florida, USA",
r94,primary,"Cordes, E. E., Nybakken, J. W., & VanDykhuizen, G",2001,"Reproduction and growth of Anthomastus ritteri (Octocorallia: Alcyonacea) from Monterey Bay, California, USA",article,10.1007/s002270000470,,
r95,primary,"Wilson, M. T., Andrews, A. H., Brown, A. L., & Cordes, E. E. ",2002,"Axial rod growth and age estimation of the sea pen, Halipteris willemoesi Kölliker",article,10.1023/A:1016509506094,,
r96,primary,"Khalesi, M. K., Beeftink, H. H., & Wijffels, R. H",2009,Light-Dependency of Growth and Secondary Metabolite Production in the Captive Zooxanthellate Soft Coral Sinularia flexibilis,article,10.1007/s10126-008-9164-z,,
r97,primary,"Thresher, R. E.",2009,Environmental and compositional correlates of growth rate in deep-water bamboo corals (Gorgonacea; Isididae) ,article,10.3354/meps08245,,
r99,primary,"de Moura Neves, B. D. M., Edinger, E., Layne, G. D., & Wareham, V. E. ",2015,"Decadal longevity and slow growth rates in the deep-water sea pen Halipteris finmarchica (Sars, 1851) (Octocorallia: Pennatulacea): implications for vulnerability and recovery from anthropogenic disturbance",article,10.1007/s10750-015-2229-x,,
r100,primary,"Brodeur, R. D.",2001,"Habitat-specific distribution of Pacific ocean perch (Sebastes alutus) in Pribilof Canyon, Bering Sea ",article,10.1016/S0278-4343(00)00083-2,,
r101,primary,"Birkeland, C.",1974,Interactions between a sea pen and seven of its predators,article,10.2307/1942312,,
r102,primary,"Vinogradov, G.M.",2000,Growth rate of the colony of a deep-water gorgonarian Chrysogorgia agassizi: in situ observations. Ophelia 53: 101–103.,article,10.1080/00785236.2000.10409439,,
r103,primary,"Girard, F., Cruz, R., Glickman, O., Harpster, T., & Fisher, C. R. ",2019,In situ growth of deep-sea octocorals after the Deepwater Horizon oil spill,article,10.1525/elementa.349,,
r104,primary,"Walker, T.A. & Bull, G. D.",1983,A newly discovered method of reproduction in gorgonian coral,article,,Mar. Ecol. Prog. Ser.,"37-143, 198 "
r105,primary,"Wenker, R.P. & Stevens, B.G.",2020,"Sea whip coral Leptogorgia virgulata in the Mid-Atlantic Bight: Colony complexity, age, and growth.",article,10.7717/peerj.8372,,
r107,primary,"Mitchell, N. D., Dardeau, M. R., & Schroeder, W. W",1993,"Colony morphology, age structure, and relative growth of two gorgonian corals, Leptogorgia hebes (Verrill) and Leptogorgia virgulata (Lamarck), from the northerm Gulf of Mexico",article,10.1007/BF00302103,,
r108,primary,"Altvater, L., & Coutinho, R.",2015,"Colonisation, competitive ability and influence of Stragulum bicolor van Ofwegen and Haddad, 2011 (Cnidaria, Anthozoa) on the fouling community in Paranaguá Bay, Southern Brazil",article,10.1016/j.jembe.2014.10.007,,
r113,primary,"Goffredo, S., & Lasker, H. R.",2008,An adaptive management approach to an octocoral fishery based on the Beverton-Holt model,article,10.1007/s00338-008-0391-6,,
r114,primary,"Humann, P. & Deloach, N.",1993,"Reef coral. Identification guide: Florida, Caribbean, Bahamas",guide,,New World Publications Inc. U.S,276p
r115,primary,"Baker, K. D., Snelgrove, P. V., Fifield, D. A., Edinger, E. N., Wareham, V. E., Haedrich, R. L., & Gilkinson, K. D.",2019,"Small-Scale Patterns in the Distribution and Condition of Bamboo Coral, Keratoisis grayi, in Submarine Canyons on the Grand Banks, Newfoundland",article,10.3389/fmars.2019.00374,,
r116,primary,"Gómez-Gras, D., Linares, C., López-Sanz, A., Amate, R., Ledoux, J. B., Bensoussan, N., ... & Garrabou, J.",2021,Population collapse of habitat-forming species in the Mediterranean: a long-term study of gorgonian populations affected by recurrent marine heatwaves,article,10.1098/rspb.2021.2384,,
r117,primary,"Garrabou, J., Sala, E., Linares, C., Ledoux, J. B., Montero-Serra, I., Dominici, J. M., ... & Harmelin, J. G.",2017,Re-shifting the ecological baseline for the overexploited Mediterranean red coral,article,10.1038/srep42404,,
r118,primary,"Goh, N.K.C. & Chow, L.M.",1995,Growth of Five Species of Gorgonians (Sub-Class Octocorallia) in the Sedimented Waters of Singapore,article,10.1111/j.1439-0485.1995.tb00416.x,Marine Ecology,"16 (4), 337-346"
r119,primary,"Hasegawa, H., Rahman, M. A., Luan, N. T., Maki, T., & Iwasaki, N.",2012,Trace elements in Corallium spp. as indicators for origin and habitat,article,10.1016/j.jembe.2012.01.005,,
r120,primary,"Van Oppen, M. J. H., Mieog, J. C., Sanchez, C. A., & Fabricius, K. E.",2005,Diversity of algal endosymbionts (zooxanthellae) in octocorals: the roles of geography and host relationships,article,10.1111/j.1365-294X.2005.02545.x,,
r121,primary,"Sánchez, J. A.",1999,"Black coral-octocoral distribution patterns on Imelda Bank, a deep-water reef, Colombia, Caribbean Sea",article,,Bulletin of Marine Science -Miami,65(1):215-225
r122,primary,"Ryu, T., Cho, I. Y., Hwang, S. J., Yum, S., Kim, M. S., & Woo, S. ",2019,First transcriptome assembly of the temperate azooxanthellate octocoral Eleutherobia rubra,article,10.1016/j.margen.2019.04.007,,
r123,secondary,"Kupfner Johnson, S., & Hallock, P.",2020,A review of symbiotic gorgonian research in the western Atlantic and Caribbean with recommendations for future work,article,10.1007/s00338-020-01891-0,,
r124,primary,"Bayer, F. M.",1961,The Shallow-water Octocorallia of the West Indian Region,article,,Studies on the Fauna of Curaçao and other Caribbean Islands,"2(1), 1- 373"
r125,primary,"Yoshioka, B.B. ",1979,Aspects of the ecology of Pseudopterogorgia americana and Pseudopterogorgia acerosa,MSc thesis,,"MSc thesis, University of Puerto Rico ",p 105
r126,primary,"Gutiérrez‐Rodríguez, C., & Lasker, H. R.",2004,"Reproductive biology, development, and planula behavior in the Caribbean gorgonian Pseudopterogorgia elisabethae.",article,10.1111/j.1744-7410.2004.tb00141.x,Invertebrate Biology,123:54–67 
r127,primary,"Fitzsimmons-Sosa, K., Hallock, P., Wheaton, J., Hackett, K. & Callahan, M.",2004,"Annual cycles of gonadal development of six common gorgonians from Biscayne National Park, Florida, USA. ",article,,Caribb J Sci ,40:144–150 
r128,primary,"Kahng, S. E., Benayahu, Y., & Lasker, H. R.",2011,Sexual reproduction in octocorals,article,10.3354/meps09414,,
r129,primary,"Bastidas, C., Cróquer, A., Zubillaga, A. L., Ramos, R., Kortnik, V., Weinberger, C., & Márquez, L. M.",2005,"Coral mass- and split-spawning at a coastal and an offshore Venezuelan reefs, southern Caribbean.",article,10.1007/s10750-004-4672-y,Hydrobiologia, 541:101–106 
r130,primary,"Bardales, A.T.",1981,"Reproductive patterns of three species of octocorals (families Telestidae, Briareidae, Plexauridae) in the vicinity of La Parguera, Puerto Rico. ",MSc thesis,,"MSc thesis, University of Puerto Rico, ",p85 
r131,primary,"Lasker, H. R., & Kim, K.",1996,Larval development and settlement behavior of the gorgonian coral Plexaura kuna. ,article,10.1016/S0022-0981(96)02625-1,J Exp Mar Biol Ecol ,207:161–175 
r132,primary,"Suzuki, H.",1971,"Notes on Cornularia (Stolonifera, Alcyonaria) Found in the Vicinity of the Manazuru Marine Biological Laboratory. ",report,,"Science reports of the Yokohama National University Section II, Biological and geological sciences ",18:1–6
r133,primary,"Kahng, S. E",2006,"Ecology and ecological impact of an alien octocoral, Carijoa riisei, in Hawaii. ",PhD thesis,https://www.researchgate.net/publication/356696001_ECOLOGY_AND_ECOLOGICAL_IMPACT_OF_AN_ALIEN_OCTOCORAL_CARIJOA_RIISEI_IN_HAWAI%27I,"PhD thesis, University of Hawaii",p 284
r134,primary,"Rees, J.T. ",1969,Aspects of growth and nutrition in the octocoral Telesto riisei,PhD thesis,,"PhD thesis, University of Puerto Rico",
r135,primary,"Benayahu, Y. & Loya, Y.",1983,"Surface brooding in the Red Sea soft coral Parerythropodium fulvum fulvum (Forskal, 1775) ",article,10.2307/1541201,Biol Bull ,165:353–369 
r136,primary,"Weinberg, S.",1986,Mediterranean octocorallia: description of Clavularia carpediem nsp. and synonymy of Clavularia crassa and C. ochracea on etho-ecological grounds.-,article,,ijdr. Dierk.,56: 232-246
r137,primary,"Alino, P.M, & Coll, J.C. ",1989,"Observations of the synchronized mass spawning and post settlement activity of octocorals on the Great Barrier Reef, Australia: Biological aspects. ",article,,Bull Mar Sci ,45:697–707 
r138,primary,"Hartnoll, R. G.",1975,The annual cycle of Alcyonium digitatum. ,article,10.1016/0302-3524(75)90006-7,Estuarine and Coastal Mar. Sci. ,3: 71-75.
r139,primary,"Gohar, H.A.F.",1940, Studies on the Xeniidae ofthe Red Sea.  ,article,," Publ. Mar. BioI. Stn. Ghadarqa, Red Sea",2: 27-118.
r140,primary,"Bastidas, C., Benzie, J.A.H. & Fabricius, K.E. ",2002,Genetic differentiation among populations of the brooding soft coral Clavularia koellikeri on the Great Barrier Reef ,article,10.1007/s00338-002-0236-7 ,,
r141,primary,"Hickson, S.",1900,The Alcyonaria & Hydrocorallinae of the Cape of Good Hope. ,book,,Marine Investigations in South Africa ,1:67–96
r142,primary,"McFadden, C.S. ",1999,Genetic and taxonomic relationships among Northeastern Atlantic and Mediterranean populations of the soft coral Alcyonium coralloides. ,article,10.1007/s002270050456,Mar Biol,133:171–184 
r143,primary,"Quintanilla, E., Gili, J. M., López-González, P. J., Tsounis, G., Madurell, T., Fiorillo, I., & Rossi, S.",2013,"Sexual reproductive cycle of the epibiotic soft coral Alcyonium coralloides (Pallas, 1766) (Octocorallia, Alcyonacea)",article,10.3354/ab00493,Aquatic Biology,18(2):113-124
r144,primary,"Fiorillo, I., Rossi, S., Alvà, V., Gili, J. M., & López-González, P. J. ",2013,"Seasonal cycle of sexual reproduction of the Mediterranean soft coral
Alcyonium acaule (Anthozoa, Octocorallia)",article,10.1007/s00227-012-2126-z,Mar Biol,"160, 719–728"
r145,primary,"McFadden, C.S. ",2001,A molecular phylogenetic analysis of reproductive trait evolution in the soft coral genus Alcyonium.,article,10.1111/j.0014-3820.2001.tb01272.x,Evolution,55:54–67 
r146,primary,"Hartnoll, R.G. ",1977,Reproductive strategy in two British species of Alcyonium. ,book chapter,10.1016/b978-0-08-021378-1.50036-1,"In: Keegan BF, Ceidigh PO, Boaden PJS (eds) Biology of benthic organisms 11th European symposium on marine biology Galway, October 1976. Pergamon Press, Oxford, ",p 321–328
r147,primary,"McFadden, C.S. & Hochberg, F.G.",2003,"Biology and taxonomy of encrusting alcyoniid soft corals in the northeastern Pacific Ocean with descriptions of two new genera (Cnidaria, Anthozoa, Octocorallia). ",article,10.1111/j.1744-7410.2003.tb00076.x,Invertebrate Biology,122:93–113 
r148,primary,"Lo Bianco, S. ",1909,Notizie biologiche riguardanti specialmente il period0 di maturita sessuale degli animali de1 golf0 di Napoli. ,article,https://biostor.org/reference/181616,Mitteilungen aus der Zoologischen Station zu Neapel," 19, 5 13-761."
r149,primary,"Sebens, K.P.",1983,"The larval and juvenile ecology of the temperate octocoral Alcyonium siderium Verrill. II. Fecundity, survival, and juvenile growth.",article,10.1016/0022-0981(83)90111-9,J Exp Mar Biol Ecol ," 72(3), 263-285"
r150,primary,"Mercier, A. & Hamel, J.F.",2011,"Contrasting reproductive strategies in three deep-sea octocorals from eastern Canada: Primnoa resedaeformis; Keratoisis ornata, and Anthomastus grandiflorus",article,10.1007/s00338-011-0724-8,Coral Reefs ,"30,337–350"
r152,primary,"Beazley, L. I., & Kenchington, E. L",2012,"Reproductive biology of the deep-water coral Acanella arbuscula (Phylum Cnidaria: Class Anthozoa: Order Alcyonacea), northwest Atlantic. , 68(none)",article,10.1016/j.dsr.2012.05.013 ,Deep Sea Research Part I: Oceanographic Research Papers.,"68, 92-104"
